"locus_tag" "ftype" "length_bp" "gene" "EC_number" "COG" "product" "ec"
"3970" "BIGMCDDJ_03970" "CDS" 237 "suhB_2" "3.1.3.25" "COG0483" "Inositol-1-monophosphatase" "3"
"3973" "BIGMCDDJ_03973" "CDS" 654 "ahpD_2" "1.11.1.15" "" "Alkyl hydroperoxide reductase AhpD" "1"
"3984" "BIGMCDDJ_03984" "CDS" 399 "mecI" "" "" "Methicillin resistance regulatory protein MecI" "0"
"3985" "BIGMCDDJ_03985" "CDS" 1773 "blaR1" "" "" "Regulatory protein BlaR1" "0"
"3986" "BIGMCDDJ_03986" "CDS" 933 "penP" "3.5.2.6" "" "Beta-lactamase" "3"
"3997" "BIGMCDDJ_03997" "CDS" 2433 "narB" "1.7.5.1" "COG0243" "Nitrate reductase" "1"
"4008" "BIGMCDDJ_04008" "CDS" 1530 "cotA_3" "" "COG2132" "Spore coat protein A" "0"
"4022" "BIGMCDDJ_04022" "CDS" 798 "srlR_3" "" "COG1349" "Glucitol operon repressor" "0"
"4026" "BIGMCDDJ_04026" "CDS" 933 "fba_2" "4.1.2.13" "COG0191" "Fructose-bisphosphate aldolase" "4"
"4031" "BIGMCDDJ_04031" "CDS" 1005 "iolX_4" "1.1.1.370" "COG0673" "scyllo-inositol 2-dehydrogenase (NAD(+))" "1"
"4043" "BIGMCDDJ_04043" "CDS" 906 "pip_1" "3.4.11.5" "" "Proline iminopeptidase" "3"
"4046" "BIGMCDDJ_04046" "CDS" 1287 "aam" "3.5.1.13" "COG0154" "Acylamidase" "3"
"4051" "BIGMCDDJ_04051" "CDS" 1134 "pepQ" "3.4.13.9" "COG0006" "Xaa-Pro dipeptidase" "3"
"4072" "BIGMCDDJ_04072" "CDS" 939 "doeB" "3.5.1.125" "COG3608" "N-alpha-acetyl-L-2,4-diaminobutyric acid deacetylase" "3"
"4075" "BIGMCDDJ_04075" "CDS" 1617 "appA" "" "" "Oligopeptide-binding protein AppA" "0"
"4087" "BIGMCDDJ_04087" "CDS" 393 "btr" "" "COG0614" "HTH-type transcriptional activator Btr" "0"
"4092" "BIGMCDDJ_04092" "CDS" 1425 "lutB" "" "COG1139" "Lactate utilization protein B" "0"
"4093" "BIGMCDDJ_04093" "CDS" 723 "lutC_1" "" "COG1556" "Lactate utilization protein C" "0"
"4100" "BIGMCDDJ_04100" "CDS" 1215 "lacG" "3.2.1.85" "" "6-phospho-beta-galactosidase" "3"
"4102" "BIGMCDDJ_04102" "CDS" 825 "ngcG_2" "" "COG0395" "Diacetylchitobiose uptake system permease protein NgcG" "0"
"4107" "BIGMCDDJ_04107" "CDS" 1095 "adh_2" "1.1.1.1" "COG1063" "putative alcohol dehydrogenase adh" "1"
"4108" "BIGMCDDJ_04108" "CDS" 1281 "pht3_1" "1.14.12.7" "" "Phthalate 4,5-dioxygenase oxygenase subunit" "1"
"4111" "BIGMCDDJ_04111" "CDS" 849 "mhpB" "1.13.11.16" "" "2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase" "1"
"4112" "BIGMCDDJ_04112" "CDS" 195 "dmpI" "5.3.2.6" "" "2-hydroxymuconate tautomerase" "5"
"4113" "BIGMCDDJ_04113" "CDS" 786 "tesE" "4.2.1.132" "" "2-hydroxyhexa-2,4-dienoate hydratase" "4"
"4114" "BIGMCDDJ_04114" "CDS" 1029 "" "4.1.3.39" "" "4-hydroxy-2-oxovalerate aldolase" "4"
"4115" "BIGMCDDJ_04115" "CDS" 885 "" "1.2.1.10" "" "Acetaldehyde dehydrogenase" "1"
"4116" "BIGMCDDJ_04116" "CDS" 810 "amnF" "4.2.1.80" "" "2-oxopent-4-enoate hydratase" "4"
"4117" "BIGMCDDJ_04117" "CDS" 1476 "amnC" "1.2.1.32" "" "2-aminomuconic 6-semialdehyde dehydrogenase" "1"
"4126" "BIGMCDDJ_04126" "CDS" 882 "hdfR_3" "" "" "HTH-type transcriptional regulator HdfR" "0"
"4133" "BIGMCDDJ_04133" "CDS" 639 "nicF_1" "3.5.1.107" "COG1335" "Maleamate amidohydrolase" "3"
"4134" "BIGMCDDJ_04134" "CDS" 1275 "pht3_2" "1.14.12.7" "" "Phthalate 4,5-dioxygenase oxygenase subunit" "1"
"4136" "BIGMCDDJ_04136" "CDS" 816 "nrtD_1" "7.3.2.4" "COG1116" "Nitrate import ATP-binding protein NrtD" "7"
"4138" "BIGMCDDJ_04138" "CDS" 768 "kdgR_2" "" "" "Pectin degradation repressor protein KdgR" "0"
"4141" "BIGMCDDJ_04141" "CDS" 1221 "pht4_1" "1.-.-.-" "" "Putative 4,5-dihydroxyphthalate dehydrogenase" "1"
"4143" "BIGMCDDJ_04143" "CDS" 678 "nicF_2" "3.5.1.107" "COG1335" "Maleamate amidohydrolase" "3"
"4147" "BIGMCDDJ_04147" "CDS" 1251 "ligXa_1" "1.14.13.-" "COG4638" "5,5'-dehydrodivanillate O-demethylase oxygenase subunit" "1"
"4148" "BIGMCDDJ_04148" "CDS" 741 "fucA_1" "4.1.2.17" "" "L-fuculose phosphate aldolase" "4"
"4149" "BIGMCDDJ_04149" "CDS" 1092 "adh_3" "1.1.1.1" "COG1063" "putative alcohol dehydrogenase adh" "1"
"4154" "BIGMCDDJ_04154" "CDS" 1212 "pht4_2" "1.-.-.-" "" "Putative 4,5-dihydroxyphthalate dehydrogenase" "1"
"4155" "BIGMCDDJ_04155" "CDS" 738 "fucA_2" "4.1.2.17" "" "L-fuculose phosphate aldolase" "4"
"4157" "BIGMCDDJ_04157" "CDS" 1257 "ligXa_2" "1.14.13.-" "COG4638" "5,5'-dehydrodivanillate O-demethylase oxygenase subunit" "1"
"4159" "BIGMCDDJ_04159" "CDS" 354 "lutC_2" "" "COG1556" "Lactate utilization protein C" "0"
"4173" "BIGMCDDJ_04173" "CDS" 1350 "codB" "" "COG1457" "Cytosine permease" "0"
"4175" "BIGMCDDJ_04175" "CDS" 1758 "apc4" "6.4.1.8" "COG0146" "Acetophenone carboxylase delta subunit" "6"
"4176" "BIGMCDDJ_04176" "CDS" 2046 "apc3" "6.4.1.8" "COG0145" "Acetophenone carboxylase gamma subunit" "6"
"4189" "BIGMCDDJ_04189" "CDS" 1371 "hyuP" "" "" "Hydantoin permease" "0"
"4190" "BIGMCDDJ_04190" "CDS" 798 "ramA_2" "3.5.1.100" "" "(R)-stereoselective amidase" "3"
"4192" "BIGMCDDJ_04192" "CDS" 987 "rbsR_2" "" "COG1609" "Ribose operon repressor" "0"
"4200" "BIGMCDDJ_04200" "CDS" 306 "frc" "2.8.3.16" "" "Formyl-CoA:oxalate CoA-transferase" "2"
"4231" "BIGMCDDJ_04231" "CDS" 273 "abh" "" "COG2002" "Putative transition state regulator Abh" "0"
"4254" "BIGMCDDJ_04254" "CDS" 375 "mcpA" "" "COG0840" "Methyl-accepting chemotaxis protein McpA" "0"
"4277" "BIGMCDDJ_04277" "CDS" 1602 "aceB" "2.3.3.9" "COG2225" "Malate synthase A" "2"
"4312" "BIGMCDDJ_04312" "CDS" 750 "nrtD_2" "7.3.2.4" "COG1116" "Nitrate import ATP-binding protein NrtD" "7"
"4338" "BIGMCDDJ_04338" "CDS" 360 "glbN" "" "" "Group 1 truncated hemoglobin GlbN" "0"
"4470" "BIGMCDDJ_04470" "CDS" 435 "phnO" "2.3.1.280" "" "Aminoalkylphosphonate N-acetyltransferase" "2"
"4485" "BIGMCDDJ_04485" "CDS" 474 "hemAT_1" "" "COG0840" "Heme-based aerotactic transducer HemAT" "0"
"4486" "BIGMCDDJ_04486" "CDS" 609 "hemAT_2" "" "COG0840" "Heme-based aerotactic transducer HemAT" "0"
"4518" "BIGMCDDJ_04518" "CDS" 579 "yqjA" "" "COG0586" "Inner membrane protein YqjA" "0"
"4533" "BIGMCDDJ_04533" "CDS" 396 "fosB" "2.5.1.-" "COG0346" "Metallothiol transferase FosB" "2"
"4566" "BIGMCDDJ_04566" "CDS" 726 "metC_2" "4.4.1.13" "" "Cystathionine beta-lyase" "4"
"4567" "BIGMCDDJ_04567" "CDS" 1383 "yifK" "" "COG1113" "putative transport protein YifK" "0"
"4580" "BIGMCDDJ_04580" "CDS" 1125 "soxA" "1.5.3.1" "" "Monomeric sarcosine oxidase" "1"
"4605" "BIGMCDDJ_04605" "CDS" 1743 "ypdA" "2.7.13.3" "COG3275" "Sensor histidine kinase YpdA" "2"
"4621" "BIGMCDDJ_04621" "CDS" 4077 "eccC" "" "COG1674" "ESX secretion system protein EccC" "0"
"4640" "BIGMCDDJ_04640" "CDS" 1038 "" "1.1.1.301" "" "D-arabitol-phosphate dehydrogenase" "1"
"4641" "BIGMCDDJ_04641" "CDS" 828 "griI" "4.1.2.56" "COG1830" "2-amino-4,5-dihydroxy-6-oxo-7-(phosphonooxy)heptanoate synthase" "4"
"4644" "BIGMCDDJ_04644" "CDS" 1350 "garP" "" "" "putative galactarate transporter" "0"
"4652" "BIGMCDDJ_04652" "CDS" 1065 "ntdC_1" "1.1.1.361" "COG0673" "Glucose-6-phosphate 3-dehydrogenase" "1"
"4653" "BIGMCDDJ_04653" "CDS" 1056 "ntdC_2" "1.1.1.361" "COG0673" "Glucose-6-phosphate 3-dehydrogenase" "1"
"4656" "BIGMCDDJ_04656" "CDS" 843 "ngcG_3" "" "COG0395" "Diacetylchitobiose uptake system permease protein NgcG" "0"
"4664" "BIGMCDDJ_04664" "CDS" 429 "ulaC" "" "COG1762" "Ascorbate-specific PTS system EIIA component" "0"
"4665" "BIGMCDDJ_04665" "CDS" 267 "ulaB" "2.7.1.194" "" "Ascorbate-specific PTS system EIIB component" "2"
"4667" "BIGMCDDJ_04667" "CDS" 993 "" "3.1.1.25" "" "Phospho-furanose lactonase" "3"
"4668" "BIGMCDDJ_04668" "CDS" 726 "iolN_2" "3.7.1.-" "COG1402" "3-dehydro-scyllo-inosose hydrolase" "3"
"4671" "BIGMCDDJ_04671" "CDS" 1140 "xylB_5" "1.1.1.90" "" "Aryl-alcohol dehydrogenase" "1"
"4672" "BIGMCDDJ_04672" "CDS" 1851 "acoR_2" "" "COG3284" "Acetoin catabolism regulatory protein" "0"
"4673" "BIGMCDDJ_04673" "CDS" 723 "" "" "" "IS21 family transposase ISCth15" "0"
"4678" "BIGMCDDJ_04678" "CDS" 498 "DmdB" "4.2.1.85" "" "2,3-dimethylmalate dehydratase small subunit" "4"
"4680" "BIGMCDDJ_04680" "CDS" 756 "maiA" "5.2.1.1" "" "Maleate isomerase" "5"
"4681" "BIGMCDDJ_04681" "CDS" 1104 "ttuC'" "1.1.1.93" "" "putative tartrate dehydrogenase/decarboxylase TtuC'" "1"
"4698" "BIGMCDDJ_04698" "CDS" 990 "" "1.8.3.7" "COG1262" "Formylglycine-generating enzyme" "1"
"4699" "BIGMCDDJ_04699" "CDS" 1386 "" "3.1.6.-" "" "Ulvan-active sulfatase" "3"
"4700" "BIGMCDDJ_04700" "CDS" 1386 "xylP" "" "" "Isoprimeverose transporter" "0"
"4711" "BIGMCDDJ_04711" "CDS" 768 "etfB" "" "COG2086" "Electron transfer flavoprotein subunit beta" "0"
"4712" "BIGMCDDJ_04712" "CDS" 1224 "abo" "1.5.3.19" "" "4-methylaminobutanoate oxidase (formaldehyde-forming)" "1"
"4715" "BIGMCDDJ_04715" "CDS" 750 "mngR" "" "COG2188" "Mannosyl-D-glycerate transport/metabolism system repressor MngR" "0"
"4717" "BIGMCDDJ_04717" "CDS" 1305 "yesO" "" "COG1653" "Putative ABC transporter substrate-binding protein YesO" "0"
"4721" "BIGMCDDJ_04721" "CDS" 1650 "treA_2" "3.2.1.28" "" "Periplasmic trehalase" "3"
"4725" "BIGMCDDJ_04725" "CDS" 783 "kdgR_3" "" "" "Pectin degradation repressor protein KdgR" "0"
"4733" "BIGMCDDJ_04733" "CDS" 762 "ped" "1.1.1.311" "" "(S)-1-Phenylethanol dehydrogenase" "1"
"4735" "BIGMCDDJ_04735" "CDS" 1746 "" "" "COG0737" "Cell wall protein" "0"
"4738" "BIGMCDDJ_04738" "CDS" 414 "ble" "" "COG0346" "Bleomycin resistance protein" "0"
"4743" "BIGMCDDJ_04743" "CDS" 993 "rbsR_3" "" "COG1609" "Ribose operon repressor" "0"
"4746" "BIGMCDDJ_04746" "CDS" 834 "kanJ" "1.14.11.37" "" "Kanamycin B dioxygenase" "1"
"4748" "BIGMCDDJ_04748" "CDS" 966 "" "3.1.1.25" "COG1735" "Phospho-furanose lactonase" "3"
"4749" "BIGMCDDJ_04749" "CDS" 777 "cpnA" "1.1.1.163" "" "Cyclopentanol dehydrogenase" "1"
"4755" "BIGMCDDJ_04755" "CDS" 1254 "yegT_2" "" "" "Putative nucleoside transporter YegT" "0"
"4802" "BIGMCDDJ_04802" "CDS" 801 "" "" "" "IS481 family transposase ISChy3" "0"
"4806" "BIGMCDDJ_04806" "CDS" 753 "pip_2" "3.4.11.5" "" "Proline iminopeptidase" "3"
"4873" "BIGMCDDJ_04873" "CDS" 603 "gluP" "3.4.21.105" "COG0705" "Rhomboid protease GluP" "3"
"4888" "BIGMCDDJ_04888" "CDS" 135 "cmpA" "" "" "Cortex morphogenetic protein A" "0"
"4901" "BIGMCDDJ_04901" "tRNA" 77 "" "" "" "tRNA-Ile(gat)" "0"
"4919" "BIGMCDDJ_04919" "CDS" 114 "rpmJ" "" "" "50S ribosomal protein L36" "0"
"5050" "BIGMCDDJ_05050" "CDS" 267 "bofA" "" "" "Sigma-K factor-processing regulatory protein BofA" "0"
"5055" "BIGMCDDJ_05055" "CDS" 333 "mazF" "3.1.27.-" "COG2337" "Endoribonuclease toxin MazF" "3"
"5056" "BIGMCDDJ_05056" "CDS" 234 "mazE" "" "COG2336" "Antitoxin MazE" "0"
"5058" "BIGMCDDJ_05058" "rRNA" 2739 "" "" "" "23S ribosomal RNA" "0"
